NOTE:   Deleted codes are valid for dates of service on or before the date of deletion.,,,
NOTE:  Updated codes are in bold.,,,
NOTE:   The jurisdiction list includes codes that are not payable by Medicare.  Please consult the Medicare,,,
contractor in whose jurisdiction a claim would be filed in order to determine coverage under Medicare.,,,
NOTE: All HCPCS codes listed have DME or joint MAC Jurisdiction. Any other codes not listed as DME MAC only or dual DME MAC/Part B MAC ,,,
jurisdiction shall be considered to be A/B MAC (Part B) only jurisdiction. ,,,
HCPCS,DESCRIPTION,JURISDICTION,COMMENT
K1027,Devices,"DME MAC when the supplier considers the item DMEPOS.  Part B MAC if the supplier considers the item something other than DMEPOS (e.g., supplies furnished incident to the professional service of a physician)",
K1035-K1037,Devices,DME MAC ,
L0112 - L4631,Orthotics & Devices,DME MAC,
L5000 - L5999,Lower Limb Prosthetics,DME MAC,
L6025 - L7499,Upper Limb Prosthetics,DME MAC,
"L7510, L7520",Repair of Prosthetic Device,"Part B MAC if repair of implanted prosthetic device. If other, DME MAC",
L7600 - L8002,Prosthetics,DME MAC,
L8015 - L8485,Prosthetics,DME MAC,
L8499,Unlisted Procedure for Miscellaneous Prosthetic Services,"Part B MAC if implanted prosthetic device. If other, DME MAC",
"L8500, L8501 ",Artificial Larynx; Tracheostomy Miscellaneous Prosthetic Services ,DME MAC,
L8505,Artificial Larynx Accessory,DME MAC,
L8507 ,"Voice Prosthesis, Patient Inserted",DME MAC,
L8509,"Voice Prosthesis, Inserted by a Licensed Health Care Provider",Part B MAC for dates of service on or after 10/01/2010.  DME MAC for dates of service prior to 10/01/2010,
L8510,Voice Prosthesis,DME MAC,
L8511 - L8515,Voice Prosthesis,"Part B MAC if used with tracheoesophageal voice prostheses inserted by a licensed health care provider.  If other, DME MAC",
L8701-L8721,Devices,DME MAC,
L9900,Miscellaneous Orthotic or Prosthetic Component or Accessory,"Part B MAC if used with implanted prosthetic device.  If other, DME MAC.",
Q0144,Azithromycin Dihydrate,"Part B MAC if incident to a physician's service.  If other, DME MAC.",
Q0155,Anti-emetic,DME MAC,
Q0161 - Q0173,Anti-emetic,DME MAC,
Q0175- Q0181,Anti-emetic,DME MAC,
Q0510 - Q0514,Drug Dispensing Fees,DME MAC,
Q0516-Q0520,Supply fee HIV prep,"Part B MAC if incident to a physician's Service or Part B Pharmacy Supplier, If other, DME MAC",
Q0521,Supply fee HIV prep,"Part B MAC if incident to a physician's Service or Part B Pharmacy Supplier, If other, DME MAC",
"Q2049 , Q2050",Doxorubicin,"Part B MAC if incident to a physician's service or
used in an implanted infusion pump.  
If other, DME MAC.",
Q2052,IVIG,DME MAC,
Q2058,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
Q4074,Inhalation Drug ,"Part B MAC if incident to a physician's service,  If other, DME MAC",
Q5101-Q5107,Injection,"Part B MAC if incident to a physician's service or
used in an implanted infusion pump.  
If other, DME MAC.",
Q5110,Injection,"Part B MAC if incident to a physician's service or
used in an implanted infusion pump.  
If other, DME MAC.",
Q5112-Q5119,Injection,"Part B MAC if incident to a physician's service or
used in an implanted infusion pump.  
If other, DME MAC.",
"Q5121, Q5123",Injection,"Part B MAC if incident to a physician's service or
used in an implanted infusion pump.  
If other, DME MAC.",
Q5126,Injection,"Part B MAC if incident to a physician's service or
used in an implanted infusion pump.  
If other, DME MAC.",
Q5129,Injection,"Part B MAC if incident to a physician's service or
used in an implanted infusion pump.  
If other, DME MAC.",
Q5133-Q5135,Injection,"Part B MAC if incident to a physician's service or
used in an implanted infusion pump.  
If other, DME MAC.",
Q5146,Injection,"Part B MAC if incident to a physician's service or
used in an implanted infusion pump.  
If other, DME MAC.",
"Q5151, Q5152",Injection,"Part B MAC if incident to a physician's service or
used in an implanted infusion pump.  
If other, DME MAC.",
Q5156,Injection,"Part B MAC if incident to a physician's service or
used in an implanted infusion pump.  
If other, DME MAC.",
Q5160,Injection,"Part B MAC if incident to a physician's service or
used in an implanted infusion pump.  
If other, DME MAC.",
"Q9991, Q9992",Injection ,"Part B MAC if incident to a physician's service or
used in an implanted infusion pump.  
If other, DME MAC.",
"V2020 , V2025",Frames,DME MAC,
V2100 - V2513,Lenses,DME MAC,
V2520 - V2523,Hydrophilic Contact Lenses,"Part B MAC if incident to a physician's service. If other, DME MAC.",
V2524- V2526,Hydrophilic Contact Lenses,DME MAC,
V2530 - V2531,"Contact Lenses, Scleral",DME MAC,
V2599,"Contact Lens, Other Type","Part B MAC if incident to a physician's service. If other, DME MAC.",
V2600 - V2615,Low Vision Aids,DME MAC,
V2623 - V2629,Prosthetic Eyes,DME MAC,
V2700 - V2780,Miscellaneous Vision Service,DME MAC,
V2781,Progressive Lens,DME MAC,
V2782 - V2784,Lenses,DME MAC,
V2786,Lens,DME MAC,
V2797,Vision Supply,DME MAC,
V2799,Miscellaneous Vision Service,"Part B MAC if supply for an implanted prosthetic
device. If other, DME MAC",
V5336 ,Repair/Modification of Augmentative Communicative System or Device,DME MAC,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
